PST_PT_C,SPOT_NUM,PST_SEV_CD,PST_SEV_DS,PST_SPC_CD,PST_CMN_NM,PST_LTN_NM,PST_CM_CD,PST_CM_DSC,CPTR_YR,NUM_TREES,AREA_HA,ORG_UNITNO,TR_SPCS_CD,TR_CM_NM,COMMENTS,GEOMETRY,OBJECTID,X,Y
2508,335022021,S,Severe,IBB,Western Balsam Bark Beetle,Dryocoetes confusus,OS,Overview Survey Sketchmapping Fixed Wing,2021,2,0.25,18,BL,subalpine fir,,,1631640,-121.19005483754142,53.6792480668371
2509,335042021,S,Severe,IBB,Western Balsam Bark Beetle,Dryocoetes confusus,OS,Overview Survey Sketchmapping Fixed Wing,2021,1,0.25,30,BL,subalpine fir,,,1631642,-124.0669157819835,53.761506878489186
2510,335062021,S,Severe,IBB,Western Balsam Bark Beetle,Dryocoetes confusus,OS,Overview Survey Sketchmapping Fixed Wing,2021,2,0.25,18,BL,subalpine fir,,,1631644,-122.8166074406948,53.736452194651214
2511,335082021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,2,0.25,18,FD,Douglas-fir,,,1631646,-122.68333746130324,53.73445290808302
2512,335102021,S,Severe,IBB,Western Balsam Bark Beetle,Dryocoetes confusus,OS,Overview Survey Sketchmapping Fixed Wing,2021,2,0.25,18,BL,subalpine fir,,,1631648,-120.57882314393346,53.658496573853455
2513,335112021,S,Severe,IBB,Western Balsam Bark Beetle,Dryocoetes confusus,OS,Overview Survey Sketchmapping Fixed Wing,2021,2,0.25,30,BL,subalpine fir,,,1631649,-124.26599477841273,53.76893383973215
2514,335132021,S,Severe,IBS,Spruce Beetle,Dendroctonus rufipennis,OS,Overview Survey Sketchmapping Fixed Wing,2021,2,0.25,30,SX,spruce hybrid,,,1631651,-124.37135630441011,53.77119971396278
2515,335152021,S,Severe,IBS,Spruce Beetle,Dendroctonus rufipennis,OS,Overview Survey Sketchmapping Fixed Wing,2021,1,0.25,30,SX,spruce hybrid,,,1631653,-124.44707199896665,53.773767073562944
2516,335172021,S,Severe,IBS,Spruce Beetle,Dendroctonus rufipennis,OS,Overview Survey Sketchmapping Fixed Wing,2021,4,0.25,18,SX,spruce hybrid,,,1631655,-123.02269028244713,53.74905884616367
2517,335182021,S,Severe,IBB,Western Balsam Bark Beetle,Dryocoetes confusus,OS,Overview Survey Sketchmapping Fixed Wing,2021,2,0.25,18,BL,subalpine fir,,,1631656,-122.01231944395312,53.720099158780286
2518,335202021,S,Severe,IBS,Spruce Beetle,Dendroctonus rufipennis,OS,Overview Survey Sketchmapping Fixed Wing,2021,2,0.25,30,SX,spruce hybrid,,,1631658,-124.53658419399228,53.778250801130376
2519,335222021,S,Severe,IBS,Spruce Beetle,Dendroctonus rufipennis,OS,Overview Survey Sketchmapping Fixed Wing,2021,2,0.25,30,SX,spruce hybrid,,,1631660,-123.72398541367312,53.766629819510186
